UserId,AttractionType,AvgRating,Visits
183,Points of Interest & Landmarks,5.0,1
184,Nature & Wildlife Areas,5.0,1
185,Volcanos,1.0,1
187,Religious Sites,4.0,1
189,Nature & Wildlife Areas,3.0,1
190,Nature & Wildlife Areas,5.0,1
191,Water Parks,5.0,1
192,Nature & Wildlife Areas,4.0,1
192,Waterfalls,3.0,1
194,Beaches,4.0,1
194,Religious Sites,5.0,2
194,Water Parks,3.6666666666666665,3
196,Religious Sites,3.0,2
199,Nature & Wildlife Areas,4.0,1
200,Religious Sites,5.0,1
208,Water Parks,5.0,1
213,Points of Interest & Landmarks,5.0,1
218,Nature & Wildlife Areas,5.0,1
228,Points of Interest & Landmarks,4.0,1
228,Religious Sites,5.0,1
228,Waterfalls,4.0,1
230,Beaches,3.5,2
230,Water Parks,5.0,1
231,Nature & Wildlife Areas,5.0,1
231,Points of Interest & Landmarks,5.0,1
234,Beaches,5.0,1
239,Nature & Wildlife Areas,5.0,1
240,Points of Interest & Landmarks,4.0,1
240,Water Parks,5.0,1
242,Beaches,4.0,1
247,Beaches,3.0,1
247,Points of Interest & Landmarks,1.0,1
249,Points of Interest & Landmarks,4.0,1
249,Religious Sites,5.0,1
249,Waterfalls,3.0,1
255,Water Parks,4.0,1
256,Water Parks,5.0,1
266,Beaches,2.0,1
266,Nature & Wildlife Areas,4.0,1
266,Points of Interest & Landmarks,4.5,2
266,Water Parks,4.0,2
266,Waterfalls,4.0,1
267,Points of Interest & Landmarks,5.0,1
268,Water Parks,4.0,1
269,Nature & Wildlife Areas,4.0,1
269,Water Parks,5.0,1
271,Nature & Wildlife Areas,3.0,1
272,Nature & Wildlife Areas,5.0,1
274,Nature & Wildlife Areas,5.0,1
274,Points of Interest & Landmarks,5.0,1
276,Religious Sites,5.0,2
277,Points of Interest & Landmarks,5.0,1
279,Water Parks,5.0,1
286,Historic Sites,4.0,1
286,Religious Sites,4.0,1
288,Nature & Wildlife Areas,4.0,1
296,Nature & Wildlife Areas,4.0,1
302,Beaches,3.0,1
303,Beaches,4.0,1
315,Nature & Wildlife Areas,4.0,1
316,Beaches,1.0,1
317,Beaches,4.0,1
317,Nature & Wildlife Areas,4.0,1
319,Nature & Wildlife Areas,5.0,1
320,Beaches,5.0,1
320,Nature & Wildlife Areas,4.0,1
327,Nature & Wildlife Areas,3.0,1
328,Nature & Wildlife Areas,5.0,1
336,Beaches,3.0,1
337,Water Parks,5.0,1
339,Beaches,4.333333333333333,3
339,Nature & Wildlife Areas,4.0,1
339,Waterfalls,3.0,1
340,Nature & Wildlife Areas,4.0,1
341,Beaches,4.0,1
341,Religious Sites,5.0,1
346,Beaches,5.0,1
348,Water Parks,5.0,1
349,Nature & Wildlife Areas,5.0,1
351,Nature & Wildlife Areas,4.0,1
356,Water Parks,5.0,1
359,Water Parks,5.0,1
361,Nature & Wildlife Areas,5.0,1
361,Waterfalls,5.0,1
365,Points of Interest & Landmarks,2.0,1
369,Beaches,4.0,1
378,Beaches,4.0,1
378,Water Parks,5.0,1
382,Beaches,5.0,1
382,Nature & Wildlife Areas,4.0,1
382,Religious Sites,4.333333333333333,3
386,Beaches,5.0,1
386,Nature & Wildlife Areas,4.0,1
386,Points of Interest & Landmarks,3.0,1
388,Beaches,5.0,1
390,Points of Interest & Landmarks,5.0,1
393,Religious Sites,4.0,1
396,Points of Interest & Landmarks,3.0,1
397,Beaches,4.0,1
397,Waterfalls,4.0,1
399,Beaches,4.0,1
399,Nature & Wildlife Areas,4.0,1
399,Points of Interest & Landmarks,5.0,1
399,Waterfalls,3.0,1
404,Nature & Wildlife Areas,4.0,1
404,Water Parks,5.0,1
408,Beaches,5.0,2
408,Nature & Wildlife Areas,5.0,1
408,Points of Interest & Landmarks,5.0,1
408,Waterfalls,4.0,1
410,Nature & Wildlife Areas,5.0,1
418,Religious Sites,4.0,1
419,Beaches,5.0,1
419,Water Parks,5.0,1
421,Nature & Wildlife Areas,5.0,1
422,Beaches,5.0,1
425,Nature & Wildlife Areas,3.0,2
425,Points of Interest & Landmarks,1.0,1
426,Beaches,2.0,1
430,Nature & Wildlife Areas,4.0,1
430,Points of Interest & Landmarks,5.0,1
430,Religious Sites,5.0,1
430,Waterfalls,5.0,1
432,Points of Interest & Landmarks,5.0,1
432,Waterfalls,4.0,1
433,Religious Sites,4.0,1
435,Points of Interest & Landmarks,4.0,1
442,Religious Sites,4.0,2
444,Nature & Wildlife Areas,5.0,1
444,Points of Interest & Landmarks,5.0,1
445,Water Parks,4.0,1
446,Religious Sites,5.0,2
447,Religious Sites,4.0,1
455,Nature & Wildlife Areas,4.0,1
456,Beaches,5.0,1
459,Beaches,4.0,2
459,Nature & Wildlife Areas,5.0,2
462,Water Parks,4.5,2
464,Nature & Wildlife Areas,5.0,1
470,Water Parks,5.0,1
476,Waterfalls,2.0,1
478,Nature & Wildlife Areas,5.0,1
480,Nature & Wildlife Areas,2.5,2
480,Points of Interest & Landmarks,3.0,1
480,Religious Sites,4.0,2
484,Water Parks,5.0,1
485,Water Parks,5.0,1
488,Nature & Wildlife Areas,5.0,1
490,National Parks,5.0,1
494,Waterfalls,5.0,1
501,Beaches,5.0,1
501,Water Parks,5.0,1
503,Water Parks,4.0,1
511,Beaches,5.0,1
512,Nature & Wildlife Areas,2.0,1
515,Nature & Wildlife Areas,5.0,1
516,Religious Sites,5.0,1
517,National Parks,5.0,1
518,Beaches,4.0,1
521,Beaches,2.0,1
525,Nature & Wildlife Areas,5.0,1
527,Beaches,3.5,2
528,Nature & Wildlife Areas,4.0,1
528,Water Parks,5.0,1
542,Points of Interest & Landmarks,3.0,1
545,Water Parks,5.0,1
550,Nature & Wildlife Areas,4.0,1
554,Nature & Wildlife Areas,4.0,1
554,Religious Sites,5.0,1
565,Religious Sites,4.0,1
568,Beaches,4.0,2
568,Nature & Wildlife Areas,3.5,2
568,Religious Sites,5.0,1
568,Water Parks,4.0,2
568,Waterfalls,3.0,1
571,Points of Interest & Landmarks,5.0,1
572,Nature & Wildlife Areas,4.0,1
574,Beaches,4.0,2
577,Nature & Wildlife Areas,3.0,2
577,Points of Interest & Landmarks,4.0,1
580,Nature & Wildlife Areas,5.0,1
581,Water Parks,5.0,2
583,Nature & Wildlife Areas,5.0,2
583,Points of Interest & Landmarks,4.0,1
584,Beaches,4.0,1
585,Nature & Wildlife Areas,5.0,1
585,Religious Sites,5.0,1
585,Water Parks,5.0,1
590,Religious Sites,5.0,1
594,Nature & Wildlife Areas,5.0,1
595,Beaches,3.0,1
597,Nature & Wildlife Areas,5.0,1
597,Religious Sites,5.0,1
603,Nature & Wildlife Areas,3.0,2
620,Beaches,2.0,1
621,Points of Interest & Landmarks,5.0,1
621,Water Parks,4.0,1
625,Beaches,1.0,1
627,Beaches,5.0,1
627,Religious Sites,5.0,2
630,Beaches,5.0,1
633,Nature & Wildlife Areas,4.0,1
633,Water Parks,4.0,1
636,Nature & Wildlife Areas,5.0,1
637,Points of Interest & Landmarks,5.0,1
638,Beaches,4.0,1
638,Religious Sites,4.0,1
640,Water Parks,5.0,1
646,Nature & Wildlife Areas,4.0,1
648,Beaches,3.0,1
649,Water Parks,5.0,1
652,Points of Interest & Landmarks,4.0,1
655,Religious Sites,4.5,2
655,Water Parks,4.0,1
656,Beaches,3.0,1
656,Nature & Wildlife Areas,4.5,2
656,Water Parks,4.0,1
657,Beaches,4.0,2
657,Religious Sites,5.0,1
659,National Parks,5.0,1
664,Nature & Wildlife Areas,4.0,1
664,Points of Interest & Landmarks,4.0,1
667,Nature & Wildlife Areas,4.5,2
667,Religious Sites,1.0,1
667,Water Parks,5.0,1
669,Nature & Wildlife Areas,5.0,1
678,Religious Sites,3.0,1
679,Religious Sites,5.0,1
683,History Museums,5.0,3
688,Beaches,2.0,1
689,National Parks,2.0,2
689,Points of Interest & Landmarks,4.0,1
689,Religious Sites,4.0,1
690,Beaches,4.0,1
691,Water Parks,5.0,1
694,Religious Sites,5.0,2
694,Water Parks,4.0,1
697,Points of Interest & Landmarks,4.0,1
697,Religious Sites,4.0,1
698,Religious Sites,5.0,1
706,Beaches,4.0,1
706,Nature & Wildlife Areas,4.0,1
708,Nature & Wildlife Areas,4.0,1
708,Religious Sites,5.0,1
716,Beaches,5.0,1
716,Water Parks,5.0,1
718,History Museums,5.0,1
718,Religious Sites,4.0,1
720,Water Parks,5.0,1
724,Points of Interest & Landmarks,5.0,1
726,Beaches,5.0,1
727,Nature & Wildlife Areas,5.0,1
727,Water Parks,4.0,1
727,Waterfalls,3.0,1
728,Nature & Wildlife Areas,4.0,1
733,Beaches,4.0,1
733,Nature & Wildlife Areas,4.0,1
733,Religious Sites,5.0,1
733,Water Parks,4.0,2
736,Beaches,5.0,1
736,Water Parks,4.0,1
739,Religious Sites,4.0,1
740,Nature & Wildlife Areas,5.0,1
740,Points of Interest & Landmarks,5.0,1
740,Water Parks,5.0,1
741,Points of Interest & Landmarks,4.0,1
741,Religious Sites,5.0,1
741,Waterfalls,5.0,1
742,Nature & Wildlife Areas,5.0,1
742,Waterfalls,1.0,1
743,Beaches,3.0,1
745,Nature & Wildlife Areas,4.0,1
746,Beaches,4.0,1
747,Beaches,3.0,1
748,Nature & Wildlife Areas,4.0,1
750,Religious Sites,5.0,2
752,Nature & Wildlife Areas,3.0,1
753,Water Parks,5.0,1
759,Waterfalls,1.0,1
761,Beaches,5.0,1
761,Nature & Wildlife Areas,4.0,1
761,Points of Interest & Landmarks,5.0,1
761,Religious Sites,4.5,2
761,Volcanos,4.0,3
762,Points of Interest & Landmarks,4.0,1
766,Beaches,3.0,1
766,Religious Sites,5.0,1
767,Nature & Wildlife Areas,5.0,1
767,Points of Interest & Landmarks,5.0,1
767,Religious Sites,5.0,1
768,Religious Sites,3.0,1
770,Nature & Wildlife Areas,5.0,1
773,Points of Interest & Landmarks,5.0,1
775,Religious Sites,1.0,1
776,Nature & Wildlife Areas,4.0,1
778,Religious Sites,4.0,1
780,Beaches,5.0,2
780,Nature & Wildlife Areas,4.0,1
780,Water Parks,5.0,1
781,Nature & Wildlife Areas,4.0,2
781,Water Parks,5.0,1
782,Water Parks,5.0,1
793,Nature & Wildlife Areas,4.0,2
793,Points of Interest & Landmarks,5.0,1
799,Water Parks,5.0,1
800,Nature & Wildlife Areas,4.0,1
804,Water Parks,4.0,1
807,Beaches,5.0,1
807,Nature & Wildlife Areas,3.0,1
807,Points of Interest & Landmarks,5.0,1
807,Water Parks,5.0,1
810,Nature & Wildlife Areas,5.0,1
810,Waterfalls,4.0,1
812,National Parks,5.0,1
817,Religious Sites,5.0,1
823,Nature & Wildlife Areas,3.0,2
823,Points of Interest & Landmarks,4.0,1
824,Beaches,3.0,1
830,Nature & Wildlife Areas,5.0,1
835,Nature & Wildlife Areas,5.0,1
835,Points of Interest & Landmarks,3.0,1
839,Points of Interest & Landmarks,5.0,1
841,Water Parks,5.0,1
842,Beaches,3.0,1
842,Nature & Wildlife Areas,4.0,1
842,Points of Interest & Landmarks,4.0,1
843,Nature & Wildlife Areas,5.0,1
844,Beaches,5.0,1
845,Beaches,4.0,1
845,Nature & Wildlife Areas,4.5,2
845,Religious Sites,4.0,1
845,Waterfalls,1.0,1
849,Volcanos,3.0,1
850,Beaches,4.0,1
851,Nature & Wildlife Areas,3.0,1
857,Religious Sites,3.0,1
858,Beaches,5.0,1
858,Waterfalls,5.0,1
864,Beaches,1.0,1
865,Beaches,3.0,1
868,Water Parks,2.0,1
870,Points of Interest & Landmarks,1.0,1
873,Beaches,5.0,1
873,Water Parks,5.0,1
874,Beaches,5.0,1
877,Nature & Wildlife Areas,3.0,1
878,Beaches,4.0,1
878,Water Parks,3.0,1
880,Nature & Wildlife Areas,5.0,1
880,Waterfalls,3.0,1
882,Beaches,3.0,1
885,Flea & Street Markets,3.5,2
885,Nature & Wildlife Areas,4.0,1
886,Beaches,5.0,1
886,Religious Sites,1.0,1
888,Points of Interest & Landmarks,5.0,1
891,Beaches,5.0,1
891,Nature & Wildlife Areas,1.0,2
891,Points of Interest & Landmarks,3.0,1
894,Religious Sites,4.5,2
894,Water Parks,5.0,2
898,Beaches,5.0,1
905,Water Parks,5.0,1
907,Nature & Wildlife Areas,4.0,1
908,Religious Sites,5.0,1
908,Water Parks,5.0,2
918,Nature & Wildlife Areas,5.0,2
918,Water Parks,5.0,1
918,Waterfalls,3.0,2
919,Volcanos,1.0,1
920,Beaches,5.0,1
922,Religious Sites,5.0,1
927,Religious Sites,5.0,1
927,Water Parks,5.0,2
930,Nature & Wildlife Areas,5.0,2
933,Beaches,4.0,2
940,Points of Interest & Landmarks,4.0,1
941,Beaches,3.5,2
942,Beaches,3.0,1
945,Nature & Wildlife Areas,4.0,1
950,Religious Sites,5.0,1
954,Nature & Wildlife Areas,2.0,1
956,Nature & Wildlife Areas,3.5,2
956,Points of Interest & Landmarks,5.0,1
956,Religious Sites,3.0,1
960,Beaches,5.0,1
961,Points of Interest & Landmarks,5.0,1
962,Nature & Wildlife Areas,5.0,1
966,Nature & Wildlife Areas,5.0,2
966,Points of Interest & Landmarks,5.0,1
966,Religious Sites,4.0,1
970,Beaches,3.0,1
974,Points of Interest & Landmarks,4.0,1
978,Beaches,5.0,1
978,Water Parks,5.0,2
979,Nature & Wildlife Areas,4.0,2
979,Points of Interest & Landmarks,4.0,2
979,Waterfalls,2.0,1
980,Nature & Wildlife Areas,5.0,1
981,Nature & Wildlife Areas,5.0,1
981,Points of Interest & Landmarks,3.0,1
989,Religious Sites,4.0,1
989,Water Parks,5.0,1
990,Water Parks,5.0,1
993,Nature & Wildlife Areas,3.0,1
993,Religious Sites,3.0,1
993,Waterfalls,1.0,1
995,Religious Sites,5.0,1
999,Nature & Wildlife Areas,5.0,1
1000,Beaches,4.0,1
1002,Beaches,1.0,1
1009,Ballets,4.0,4
1009,Beaches,4.0,1
1009,Religious Sites,4.5,2
1011,Religious Sites,4.0,1
1018,Beaches,2.0,1
1018,Religious Sites,3.0,1
1030,Nature & Wildlife Areas,5.0,1
1030,Water Parks,5.0,1
1033,Water Parks,5.0,1
1035,Beaches,3.0,1
1037,Beaches,3.0,1
1041,Nature & Wildlife Areas,5.0,1
1041,Water Parks,4.0,1
1044,Nature & Wildlife Areas,5.0,1
1048,Beaches,5.0,1
1048,Points of Interest & Landmarks,5.0,1
1059,Nature & Wildlife Areas,4.0,1
1060,Religious Sites,4.0,1
1061,Points of Interest & Landmarks,4.0,1
1061,Waterfalls,4.0,1
1062,Historic Sites,4.0,1
1062,Nature & Wildlife Areas,4.0,1
1064,Nature & Wildlife Areas,5.0,1
1065,Nature & Wildlife Areas,4.0,1
1068,Beaches,4.0,1
1068,Nature & Wildlife Areas,5.0,1
1068,Religious Sites,5.0,1
1074,Nature & Wildlife Areas,3.0,1
1074,Points of Interest & Landmarks,4.0,1
1079,Beaches,5.0,1
1083,Beaches,5.0,1
1083,Religious Sites,4.0,1
1083,Water Parks,5.0,2
1086,Nature & Wildlife Areas,5.0,1
1086,Points of Interest & Landmarks,5.0,1
1088,Beaches,3.75,4
1088,Nature & Wildlife Areas,4.0,7
1088,Points of Interest & Landmarks,3.0,1
1088,Religious Sites,4.333333333333333,3
1088,Water Parks,5.0,3
1088,Waterfalls,4.0,1
1089,Nature & Wildlife Areas,5.0,1
1094,Religious Sites,4.0,1
1095,Nature & Wildlife Areas,3.0,1
1097,Beaches,5.0,1
1099,Nature & Wildlife Areas,3.0,2
1101,Beaches,5.0,1
1102,Points of Interest & Landmarks,5.0,1
1103,Beaches,4.0,1
1103,Nature & Wildlife Areas,5.0,1
1103,Points of Interest & Landmarks,5.0,1
1105,Nature & Wildlife Areas,5.0,1
1107,Religious Sites,4.0,1
1114,Historic Sites,3.6666666666666665,3
1114,Points of Interest & Landmarks,3.0,1
1115,Points of Interest & Landmarks,5.0,1
1116,Water Parks,5.0,1
1117,Beaches,5.0,1
1119,Religious Sites,5.0,1
1122,Beaches,4.0,1
1122,Nature & Wildlife Areas,4.0,1
1124,Beaches,4.0,1
1127,Religious Sites,2.0,1
1132,Beaches,5.0,2
1137,Beaches,5.0,1
1148,Points of Interest & Landmarks,5.0,1
1150,Nature & Wildlife Areas,5.0,2
1151,Water Parks,4.0,1
1152,Beaches,3.0,1
1152,Nature & Wildlife Areas,4.0,1
1152,Religious Sites,5.0,1
1152,Waterfalls,5.0,1
1157,Nature & Wildlife Areas,4.0,1
1161,Beaches,4.0,1
1163,Beaches,1.0,1
1169,Beaches,1.0,1
1170,Beaches,5.0,1
1171,Beaches,5.0,1
1171,Points of Interest & Landmarks,5.0,1
1175,Nature & Wildlife Areas,5.0,2
1180,Religious Sites,5.0,1
1188,Beaches,5.0,1
1190,Nature & Wildlife Areas,5.0,1
1196,Beaches,4.0,1
1202,Beaches,3.0,1
1205,Nature & Wildlife Areas,4.0,1
1205,Points of Interest & Landmarks,1.0,1
1206,Points of Interest & Landmarks,5.0,1
1208,Nature & Wildlife Areas,5.0,1
1208,Points of Interest & Landmarks,5.0,1
1210,Points of Interest & Landmarks,4.0,1
1212,Beaches,1.0,1
1212,Nature & Wildlife Areas,4.0,1
1214,Nature & Wildlife Areas,5.0,1
1214,Points of Interest & Landmarks,4.0,1
1215,Points of Interest & Landmarks,4.0,1
1215,Religious Sites,4.666666666666667,3
1216,Beaches,3.3333333333333335,3
1216,Water Parks,4.0,1
1218,Waterfalls,3.0,1
1219,Nature & Wildlife Areas,5.0,1
1221,Beaches,3.0,3
1222,Beaches,5.0,1
1226,Religious Sites,4.0,3
1228,Beaches,5.0,1
1228,Nature & Wildlife Areas,5.0,1
1228,Points of Interest & Landmarks,5.0,1
1228,Religious Sites,5.0,2
1231,Nature & Wildlife Areas,5.0,1
1232,Religious Sites,4.0,1
1237,Water Parks,5.0,1
1240,Points of Interest & Landmarks,4.0,1
1244,Nature & Wildlife Areas,5.0,1
1245,Religious Sites,4.0,1
1249,Nature & Wildlife Areas,4.0,1
1252,Beaches,4.0,1
1252,Nature & Wildlife Areas,5.0,1
1255,Beaches,4.0,1
1257,Water Parks,4.0,1
1258,Nature & Wildlife Areas,4.0,1
1265,Beaches,2.5,2
1265,Nature & Wildlife Areas,3.0,1
1269,Beaches,5.0,1
1271,Religious Sites,3.0,2
1274,Nature & Wildlife Areas,1.0,1
1275,Water Parks,5.0,1
1278,Nature & Wildlife Areas,5.0,1
1280,Nature & Wildlife Areas,4.0,1
1280,Waterfalls,5.0,1
1281,Nature & Wildlife Areas,5.0,1
1283,Nature & Wildlife Areas,5.0,1
1286,Nature & Wildlife Areas,4.0,1
1287,Beaches,2.0,1
1287,Religious Sites,4.0,1
1288,Nature & Wildlife Areas,5.0,2
1288,Points of Interest & Landmarks,4.0,1
1291,Nature & Wildlife Areas,5.0,1
1292,Water Parks,5.0,1
1293,Beaches,4.0,1
1296,Nature & Wildlife Areas,4.0,1
1299,Nature & Wildlife Areas,5.0,1
1299,Waterfalls,4.0,1
1301,Nature & Wildlife Areas,3.0,1
1307,Nature & Wildlife Areas,5.0,1
1307,Points of Interest & Landmarks,5.0,1
1310,Waterfalls,3.0,1
1316,Ancient Ruins,5.0,1
1318,Water Parks,3.0,1
1319,Beaches,4.0,1
1320,Points of Interest & Landmarks,5.0,1
1320,Waterfalls,5.0,1
1328,Beaches,2.0,2
1329,Nature & Wildlife Areas,4.0,1
1331,Water Parks,5.0,1
1332,Points of Interest & Landmarks,4.0,1
1333,Nature & Wildlife Areas,4.0,1
1334,Nature & Wildlife Areas,5.0,1
1335,Beaches,4.0,1
1341,Beaches,1.0,1
1342,Nature & Wildlife Areas,5.0,1
1342,Water Parks,5.0,1
1342,Waterfalls,2.0,1
1343,Beaches,3.0,2
1345,Water Parks,4.0,1
1346,Nature & Wildlife Areas,5.0,1
1356,Nature & Wildlife Areas,5.0,1
1356,Water Parks,5.0,1
1358,Beaches,2.0,1
1358,Water Parks,4.0,1
1359,Points of Interest & Landmarks,4.0,1
1362,Water Parks,4.0,1
1364,Beaches,3.0,1
1366,Water Parks,5.0,1
1367,Nature & Wildlife Areas,4.0,1
1367,Waterfalls,3.0,1
1368,Beaches,1.0,1
1368,Nature & Wildlife Areas,5.0,1
1373,Beaches,4.0,1
1374,Beaches,2.0,1
1374,Nature & Wildlife Areas,4.0,1
1375,Beaches,4.0,1
1377,Nature & Wildlife Areas,4.0,1
1377,Water Parks,5.0,1
1384,Beaches,4.0,1
1387,Nature & Wildlife Areas,4.0,1
1391,Water Parks,5.0,1
1396,Nature & Wildlife Areas,4.0,1
1398,Nature & Wildlife Areas,4.0,1
1401,Beaches,5.0,1
1403,Nature & Wildlife Areas,5.0,1
1406,Beaches,1.0,1
1407,Nature & Wildlife Areas,5.0,1
1410,Nature & Wildlife Areas,3.0,1
1416,Nature & Wildlife Areas,5.0,1
1416,Points of Interest & Landmarks,1.0,1
1416,Waterfalls,3.0,1
1418,Religious Sites,5.0,1
1420,Water Parks,5.0,1
1423,Nature & Wildlife Areas,5.0,1
1428,Nature & Wildlife Areas,4.0,1
1428,Points of Interest & Landmarks,5.0,1
1433,Beaches,3.0,1
1433,Water Parks,5.0,1
1436,National Parks,3.0,1
1440,Nature & Wildlife Areas,5.0,2
1441,Nature & Wildlife Areas,5.0,1
1445,Beaches,5.0,1
1446,Water Parks,5.0,1
1448,Nature & Wildlife Areas,4.0,3
1448,Water Parks,5.0,2
1451,Water Parks,5.0,1
1452,Flea & Street Markets,3.5,2
1452,Points of Interest & Landmarks,3.0,1
1452,Religious Sites,3.0,2
1453,Religious Sites,4.0,2
1456,Nature & Wildlife Areas,3.0,1
1456,Water Parks,5.0,1
1459,Nature & Wildlife Areas,4.0,1
1459,Points of Interest & Landmarks,5.0,1
1459,Waterfalls,5.0,1
1460,Nature & Wildlife Areas,4.0,1
1471,Religious Sites,4.0,1
1473,Beaches,1.0,1
1474,Nature & Wildlife Areas,5.0,1
1478,Nature & Wildlife Areas,2.0,1
1478,Religious Sites,3.0,1
1482,Beaches,4.0,1
1482,Religious Sites,3.0,1
1485,Beaches,3.0,1
1486,Nature & Wildlife Areas,5.0,1
1492,Nature & Wildlife Areas,4.0,1
1493,Nature & Wildlife Areas,3.0,1
1495,Beaches,4.333333333333333,3
1497,Beaches,4.0,2
1497,Water Parks,5.0,3
1497,Waterfalls,4.0,2
1501,Water Parks,5.0,1
1505,Religious Sites,4.0,1
1508,Beaches,4.0,1
1509,Nature & Wildlife Areas,2.0,1
1509,Points of Interest & Landmarks,3.0,1
1511,Nature & Wildlife Areas,5.0,1
1511,Points of Interest & Landmarks,5.0,1
1511,Religious Sites,5.0,1
1511,Waterfalls,5.0,1
1512,Beaches,3.0,1
1521,Nature & Wildlife Areas,5.0,1
1521,Points of Interest & Landmarks,5.0,1
1524,Water Parks,4.0,2
1526,Nature & Wildlife Areas,4.0,1
1529,Beaches,4.0,1
1531,Water Parks,5.0,1
1533,Nature & Wildlife Areas,5.0,1
1535,Beaches,1.0,1
1536,Nature & Wildlife Areas,4.0,1
1537,Points of Interest & Landmarks,4.0,2
1537,Water Parks,4.0,1
1538,Religious Sites,5.0,1
1539,Nature & Wildlife Areas,4.0,1
1540,Nature & Wildlife Areas,3.0,1
1540,Points of Interest & Landmarks,2.0,1
1540,Religious Sites,4.0,1
1545,Nature & Wildlife Areas,5.0,1
1548,Beaches,4.0,1
1555,Nature & Wildlife Areas,5.0,2
1558,Religious Sites,5.0,1
1561,Beaches,5.0,1
1561,Religious Sites,5.0,1
1564,Nature & Wildlife Areas,5.0,1
1568,Beaches,5.0,1
1568,Religious Sites,4.0,1
1572,Waterfalls,4.0,1
1573,Beaches,4.0,2
1573,Nature & Wildlife Areas,5.0,1
1573,Religious Sites,3.0,2
1578,Religious Sites,3.0,1
1583,Water Parks,5.0,1
1586,Beaches,4.0,1
1587,Waterfalls,5.0,1
1588,Nature & Wildlife Areas,5.0,1
1588,Water Parks,5.0,1
1589,Nature & Wildlife Areas,1.0,1
1590,Nature & Wildlife Areas,1.0,1
1594,Water Parks,5.0,2
1595,Beaches,4.0,1
1595,Historic Sites,3.0,2
1595,Religious Sites,4.0,1
1599,Beaches,5.0,1
1608,Waterfalls,3.0,1
1609,Religious Sites,5.0,1
1609,Waterfalls,4.0,1
1620,Nature & Wildlife Areas,5.0,1
1620,Points of Interest & Landmarks,3.0,1
1623,Nature & Wildlife Areas,4.0,1
1625,Beaches,4.0,2
1625,Religious Sites,4.0,1
1634,Religious Sites,5.0,1
1636,National Parks,4.0,1
1638,Beaches,5.0,1
1638,Nature & Wildlife Areas,5.0,2
1638,Water Parks,5.0,2
1639,Water Parks,5.0,2
1645,Religious Sites,5.0,1
1646,Nature & Wildlife Areas,4.0,1
1647,Nature & Wildlife Areas,4.0,1
